"idCaptura";"fkMaquinaRecurso";"registro";"dthCriacao"
1;1;10.0;"2024-10-14 22:40:19"
2;2;87.1;"2024-10-14 22:40:19"
3;5;0.0;"2024-10-14 22:40:19"
4;6;0.0;"2024-10-14 22:40:19"
5;3;0.0;"2024-10-14 22:40:19"
6;4;1.0;"2024-10-14 22:40:19"
7;7;2154.0;"2024-10-14 22:40:31"
8;8;408.0;"2024-10-14 22:40:31"
9;10;2340809.0;"2024-10-14 22:40:31"
10;9;1403865.0;"2024-10-14 22:40:31"
11;1;17.9;"2024-10-14 22:40:50"
12;2;89.6;"2024-10-14 22:40:50"
13;5;0.0;"2024-10-14 22:40:50"
14;6;0.0;"2024-10-14 22:40:50"
15;3;0.0;"2024-10-14 22:40:50"
16;4;1.0;"2024-10-14 22:40:50"
17;7;2154.0;"2024-10-14 22:41:02"
18;8;408.0;"2024-10-14 22:41:02"
19;10;2340973.0;"2024-10-14 22:41:02"
20;9;1404031.0;"2024-10-14 22:41:02"
21;1;7.0;"2024-10-14 22:41:20"
22;2;89.8;"2024-10-14 22:41:20"
23;5;0.0;"2024-10-14 22:41:20"
24;6;0.0;"2024-10-14 22:41:20"
25;3;0.0;"2024-10-14 22:41:20"
26;4;1.0;"2024-10-14 22:41:20"
27;7;2155.0;"2024-10-14 22:41:32"
28;8;408.0;"2024-10-14 22:41:32"
29;10;2341443.0;"2024-10-14 22:41:32"
30;9;1404435.0;"2024-10-14 22:41:32"
31;1;17.2;"2024-10-14 22:41:50"
32;2;90.6;"2024-10-14 22:41:50"
33;5;0.0;"2024-10-14 22:41:50"
34;6;0.0;"2024-10-14 22:41:50"
35;3;0.0;"2024-10-14 22:41:50"
36;4;1.0;"2024-10-14 22:41:50"
37;7;2155.0;"2024-10-14 22:42:03"
38;8;408.0;"2024-10-14 22:42:03"
39;10;2341687.0;"2024-10-14 22:42:03"
40;9;1404691.0;"2024-10-14 22:42:03"
41;1;9.7;"2024-10-14 22:42:20"
42;2;90.9;"2024-10-14 22:42:20"
43;5;0.0;"2024-10-14 22:42:20"
44;6;0.0;"2024-10-14 22:42:20"
45;3;0.0;"2024-10-14 22:42:20"
46;4;1.0;"2024-10-14 22:42:20"
47;7;2155.0;"2024-10-14 22:42:33"
48;8;408.0;"2024-10-14 22:42:33"
49;10;2341940.0;"2024-10-14 22:42:33"
50;9;1404972.0;"2024-10-14 22:42:33"
51;1;4.4;"2024-10-14 22:42:50"
52;2;90.2;"2024-10-14 22:42:50"
53;5;0.0;"2024-10-14 22:42:50"
54;6;0.0;"2024-10-14 22:42:50"
55;3;0.0;"2024-10-14 22:42:50"
56;4;1.0;"2024-10-14 22:42:50"
57;7;2155.0;"2024-10-14 22:43:04"
58;8;408.0;"2024-10-14 22:43:04"
59;10;2342092.0;"2024-10-14 22:43:04"
60;9;1405123.0;"2024-10-14 22:43:04"
61;1;7.1;"2024-10-14 22:43:20"
62;2;90.8;"2024-10-14 22:43:20"
63;5;0.0;"2024-10-14 22:43:20"
64;6;0.0;"2024-10-14 22:43:20"
65;3;0.0;"2024-10-14 22:43:20"
66;4;1.0;"2024-10-14 22:43:20"
67;7;2155.0;"2024-10-14 22:43:34"
68;8;408.0;"2024-10-14 22:43:34"
69;10;2342438.0;"2024-10-14 22:43:34"
70;9;1405441.0;"2024-10-14 22:43:34"
71;1;6.6;"2024-10-14 22:43:51"
72;2;90.2;"2024-10-14 22:43:51"
73;5;0.0;"2024-10-14 22:43:51"
74;6;0.0;"2024-10-14 22:43:51"
75;3;0.0;"2024-10-14 22:43:51"
76;4;1.0;"2024-10-14 22:43:51"
77;7;2155.0;"2024-10-14 22:44:05"
78;8;408.0;"2024-10-14 22:44:05"
79;10;2342583.0;"2024-10-14 22:44:05"
80;9;1405588.0;"2024-10-14 22:44:05"
81;1;3.2;"2024-10-14 22:44:21"
82;2;90.7;"2024-10-14 22:44:21"
83;5;0.0;"2024-10-14 22:44:21"
84;6;0.0;"2024-10-14 22:44:21"
85;3;0.0;"2024-10-14 22:44:21"
86;4;1.0;"2024-10-14 22:44:21"
87;7;2155.0;"2024-10-14 22:44:35"
88;8;408.0;"2024-10-14 22:44:35"
89;10;2342766.0;"2024-10-14 22:44:35"
90;9;1405771.0;"2024-10-14 22:44:35"
91;1;7.6;"2024-10-14 22:44:51"
92;2;90.2;"2024-10-14 22:44:51"
93;5;0.0;"2024-10-14 22:44:51"
94;6;0.0;"2024-10-14 22:44:51"
95;3;0.0;"2024-10-14 22:44:51"
96;4;1.0;"2024-10-14 22:44:51"
97;7;2155.0;"2024-10-14 22:45:06"
98;8;408.0;"2024-10-14 22:45:06"
99;10;2342970.0;"2024-10-14 22:45:06"
100;9;1406001.0;"2024-10-14 22:45:06"
101;1;6.9;"2024-10-14 22:45:21"
102;2;91.1;"2024-10-14 22:45:21"
103;5;0.0;"2024-10-14 22:45:21"
104;6;0.0;"2024-10-14 22:45:21"
105;3;0.0;"2024-10-14 22:45:21"
106;4;1.0;"2024-10-14 22:45:21"
107;7;2155.0;"2024-10-14 22:45:36"
108;8;408.0;"2024-10-14 22:45:36"
109;10;2343091.0;"2024-10-14 22:45:36"
110;9;1406125.0;"2024-10-14 22:45:36"
111;1;6.8;"2024-10-14 22:45:51"
112;2;90.2;"2024-10-14 22:45:51"
113;5;0.0;"2024-10-14 22:45:51"
114;6;0.0;"2024-10-14 22:45:51"
115;3;0.0;"2024-10-14 22:45:51"
116;4;1.0;"2024-10-14 22:45:51"
117;7;2155.0;"2024-10-14 22:46:07"
118;8;408.0;"2024-10-14 22:46:07"
119;10;2343384.0;"2024-10-14 22:46:07"
120;9;1406447.0;"2024-10-14 22:46:07"
121;1;6.1;"2024-10-14 22:46:21"
122;2;90.8;"2024-10-14 22:46:21"
123;5;0.0;"2024-10-14 22:46:21"
124;6;0.0;"2024-10-14 22:46:21"
125;3;0.0;"2024-10-14 22:46:21"
126;4;1.0;"2024-10-14 22:46:21"
127;7;2155.0;"2024-10-14 22:46:37"
128;8;408.0;"2024-10-14 22:46:37"
129;10;2343660.0;"2024-10-14 22:46:37"
130;9;1406785.0;"2024-10-14 22:46:37"
131;1;6.9;"2024-10-14 22:46:51"
132;2;90.1;"2024-10-14 22:46:51"
133;5;0.0;"2024-10-14 22:46:51"
134;6;0.0;"2024-10-14 22:46:51"
135;3;0.0;"2024-10-14 22:46:51"
136;4;1.0;"2024-10-14 22:46:51"
137;7;2155.0;"2024-10-14 22:47:08"
138;8;408.0;"2024-10-14 22:47:08"
139;10;2343986.0;"2024-10-14 22:47:08"
140;9;1407087.0;"2024-10-14 22:47:08"
141;1;4.2;"2024-10-14 22:47:21"
142;2;90.3;"2024-10-14 22:47:21"
143;5;0.0;"2024-10-14 22:47:21"
144;6;0.0;"2024-10-14 22:47:21"
145;3;0.0;"2024-10-14 22:47:21"
146;4;1.0;"2024-10-14 22:47:21"
147;7;2155.0;"2024-10-14 22:47:38"
148;8;409.0;"2024-10-14 22:47:38"
149;10;2344101.0;"2024-10-14 22:47:38"
150;9;1407223.0;"2024-10-14 22:47:38"
151;1;3.2;"2024-10-14 22:47:51"
152;2;89.9;"2024-10-14 22:47:51"
153;5;0.0;"2024-10-14 22:47:51"
154;6;0.0;"2024-10-14 22:47:51"
155;3;0.0;"2024-10-14 22:47:51"
156;4;1.0;"2024-10-14 22:47:51"
157;7;2155.0;"2024-10-14 22:48:09"
158;8;409.0;"2024-10-14 22:48:09"
159;10;2344329.0;"2024-10-14 22:48:09"
160;9;1407435.0;"2024-10-14 22:48:09"
161;1;5.1;"2024-10-14 22:48:21"
162;2;89.8;"2024-10-14 22:48:22"
163;5;0.0;"2024-10-14 22:48:22"
164;6;0.0;"2024-10-14 22:48:22"
165;3;0.0;"2024-10-14 22:48:22"
166;4;1.0;"2024-10-14 22:48:22"
167;7;2156.0;"2024-10-14 22:48:39"
168;8;409.0;"2024-10-14 22:48:39"
169;10;2344921.0;"2024-10-14 22:48:39"
170;9;1407744.0;"2024-10-14 22:48:39"
171;1;4.5;"2024-10-14 22:48:52"
172;2;90.3;"2024-10-14 22:48:52"
173;5;0.0;"2024-10-14 22:48:52"
174;6;0.0;"2024-10-14 22:48:52"
175;3;0.0;"2024-10-14 22:48:52"
176;4;1.0;"2024-10-14 22:48:52"
177;7;2156.0;"2024-10-14 22:49:10"
178;8;410.0;"2024-10-14 22:49:10"
179;10;2345347.0;"2024-10-14 22:49:10"
180;9;1408058.0;"2024-10-14 22:49:10"
181;1;4.7;"2024-10-14 22:49:22"
182;2;90.1;"2024-10-14 22:49:22"
183;5;0.0;"2024-10-14 22:49:22"
184;6;0.0;"2024-10-14 22:49:22"
185;3;0.0;"2024-10-14 22:49:22"
186;4;1.0;"2024-10-14 22:49:22"
187;7;2156.0;"2024-10-14 22:49:40"
188;8;410.0;"2024-10-14 22:49:40"
189;10;2345795.0;"2024-10-14 22:49:40"
190;9;1408431.0;"2024-10-14 22:49:41"
191;1;6.0;"2024-10-14 22:49:52"
192;2;89.5;"2024-10-14 22:49:52"
193;5;0.0;"2024-10-14 22:49:52"
194;6;0.0;"2024-10-14 22:49:52"
195;3;0.0;"2024-10-14 22:49:52"
196;4;1.0;"2024-10-14 22:49:52"
197;7;2156.0;"2024-10-14 22:50:11"
198;8;410.0;"2024-10-14 22:50:11"
199;10;2345968.0;"2024-10-14 22:50:11"
200;9;1408644.0;"2024-10-14 22:50:11"
201;1;3.3;"2024-10-14 22:50:22"
202;2;89.7;"2024-10-14 22:50:22"
203;5;0.0;"2024-10-14 22:50:22"
204;6;0.0;"2024-10-14 22:50:22"
205;3;0.0;"2024-10-14 22:50:22"
206;4;1.0;"2024-10-14 22:50:22"
207;7;2156.0;"2024-10-14 22:50:41"
208;8;410.0;"2024-10-14 22:50:42"
209;10;2346188.0;"2024-10-14 22:50:42"
210;9;1408848.0;"2024-10-14 22:50:42"
211;1;4.0;"2024-10-14 22:50:52"
212;2;89.4;"2024-10-14 22:50:52"
213;5;0.0;"2024-10-14 22:50:52"
214;6;0.0;"2024-10-14 22:50:52"
215;3;0.0;"2024-10-14 22:50:52"
216;4;1.0;"2024-10-14 22:50:52"
217;7;2156.0;"2024-10-14 22:51:12"
218;8;410.0;"2024-10-14 22:51:12"
219;10;2346446.0;"2024-10-14 22:51:12"
220;9;1409083.0;"2024-10-14 22:51:12"
221;1;4.0;"2024-10-14 22:51:22"
222;2;89.2;"2024-10-14 22:51:22"
223;5;0.0;"2024-10-14 22:51:22"
224;6;0.0;"2024-10-14 22:51:22"
225;3;0.0;"2024-10-14 22:51:22"
226;4;1.0;"2024-10-14 22:51:22"
227;7;2156.0;"2024-10-14 22:51:43"
228;8;410.0;"2024-10-14 22:51:43"
229;10;2346945.0;"2024-10-14 22:51:43"
230;9;1409460.0;"2024-10-14 22:51:43"
231;1;6.2;"2024-10-14 22:51:52"
232;2;89.6;"2024-10-14 22:51:52"
233;5;0.0;"2024-10-14 22:51:52"
234;6;0.0;"2024-10-14 22:51:52"
235;3;0.0;"2024-10-14 22:51:52"
236;4;1.0;"2024-10-14 22:51:52"
237;7;2156.0;"2024-10-14 22:52:13"
238;8;411.0;"2024-10-14 22:52:13"
239;10;2347371.0;"2024-10-14 22:52:13"
240;9;1409733.0;"2024-10-14 22:52:13"
241;1;7.0;"2024-10-14 22:52:22"
242;2;90.2;"2024-10-14 22:52:22"
243;5;0.0;"2024-10-14 22:52:22"
244;6;0.0;"2024-10-14 22:52:22"
245;3;0.0;"2024-10-14 22:52:22"
246;4;1.0;"2024-10-14 22:52:22"
247;7;2156.0;"2024-10-14 22:52:44"
248;8;411.0;"2024-10-14 22:52:44"
249;10;2347556.0;"2024-10-14 22:52:44"
250;9;1409921.0;"2024-10-14 22:52:44"
251;1;6.4;"2024-10-14 22:52:52"
252;2;90.1;"2024-10-14 22:52:52"
253;5;0.0;"2024-10-14 22:52:52"
254;6;0.0;"2024-10-14 22:52:52"
255;3;0.0;"2024-10-14 22:52:52"
256;4;1.0;"2024-10-14 22:52:52"
257;7;2156.0;"2024-10-14 22:53:14"
258;8;411.0;"2024-10-14 22:53:14"
259;10;2348037.0;"2024-10-14 22:53:14"
260;9;1410331.0;"2024-10-14 22:53:14"
261;1;6.3;"2024-10-14 22:53:22"
262;2;90.9;"2024-10-14 22:53:22"
263;5;0.0;"2024-10-14 22:53:22"
264;6;0.0;"2024-10-14 22:53:22"
265;3;0.0;"2024-10-14 22:53:23"
266;4;1.0;"2024-10-14 22:53:23"
267;7;2156.0;"2024-10-14 22:53:45"
268;8;411.0;"2024-10-14 22:53:45"
269;10;2348261.0;"2024-10-14 22:53:45"
270;9;1410560.0;"2024-10-14 22:53:45"
271;1;5.6;"2024-10-14 22:53:53"
272;2;90.1;"2024-10-14 22:53:53"
273;5;0.0;"2024-10-14 22:53:53"
274;6;0.0;"2024-10-14 22:53:53"
275;3;0.0;"2024-10-14 22:53:53"
276;4;1.0;"2024-10-14 22:53:53"
277;7;2156.0;"2024-10-14 22:54:15"
278;8;411.0;"2024-10-14 22:54:15"
279;10;2348433.0;"2024-10-14 22:54:15"
280;9;1410722.0;"2024-10-14 22:54:15"
281;1;5.8;"2024-10-14 22:54:23"
282;2;89.4;"2024-10-14 22:54:23"
283;5;0.0;"2024-10-14 22:54:23"
284;6;0.0;"2024-10-14 22:54:23"
285;3;0.0;"2024-10-14 22:54:23"
286;4;1.0;"2024-10-14 22:54:23"
287;7;2157.0;"2024-10-14 22:54:46"
288;8;411.0;"2024-10-14 22:54:46"
289;10;2348557.0;"2024-10-14 22:54:46"
290;9;1410841.0;"2024-10-14 22:54:46"
291;1;4.5;"2024-10-14 22:54:53"
292;2;89.5;"2024-10-14 22:54:53"
293;5;0.0;"2024-10-14 22:54:53"
294;6;0.0;"2024-10-14 22:54:53"
295;3;0.0;"2024-10-14 22:54:53"
296;4;1.0;"2024-10-14 22:54:53"
297;7;2157.0;"2024-10-14 22:55:16"
298;8;411.0;"2024-10-14 22:55:16"
299;10;2348810.0;"2024-10-14 22:55:16"
300;9;1411074.0;"2024-10-14 22:55:16"
301;1;5.6;"2024-10-14 22:55:23"
302;2;90.6;"2024-10-14 22:55:23"
303;5;0.0;"2024-10-14 22:55:23"
304;6;0.0;"2024-10-14 22:55:23"
305;3;0.0;"2024-10-14 22:55:23"
306;4;1.0;"2024-10-14 22:55:23"
307;7;2157.0;"2024-10-14 22:55:47"
308;8;411.0;"2024-10-14 22:55:47"
309;10;2348979.0;"2024-10-14 22:55:47"
310;9;1411255.0;"2024-10-14 22:55:47"
311;1;4.5;"2024-10-14 22:55:53"
312;2;90.2;"2024-10-14 22:55:53"
313;5;0.0;"2024-10-14 22:55:53"
314;6;0.0;"2024-10-14 22:55:53"
315;3;0.0;"2024-10-14 22:55:53"
316;4;1.0;"2024-10-14 22:55:53"
317;7;2157.0;"2024-10-14 22:56:17"
318;8;412.0;"2024-10-14 22:56:17"
319;10;2349238.0;"2024-10-14 22:56:17"
320;9;1411501.0;"2024-10-14 22:56:17"
321;1;4.8;"2024-10-14 22:56:23"
322;2;89.3;"2024-10-14 22:56:23"
323;5;0.0;"2024-10-14 22:56:23"
324;6;0.0;"2024-10-14 22:56:23"
325;3;0.0;"2024-10-14 22:56:23"
326;4;1.0;"2024-10-14 22:56:23"
327;7;2157.0;"2024-10-14 22:56:48"
328;8;412.0;"2024-10-14 22:56:48"
329;10;2349792.0;"2024-10-14 22:56:48"
330;9;1412090.0;"2024-10-14 22:56:48"
331;1;18.2;"2024-10-14 22:56:53"
332;2;90.2;"2024-10-14 22:56:53"
333;5;0.0;"2024-10-14 22:56:53"
334;6;0.0;"2024-10-14 22:56:53"
335;3;0.0;"2024-10-14 22:56:53"
336;4;1.0;"2024-10-14 22:56:53"
337;7;2157.0;"2024-10-14 22:57:18"
